"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"Boundless","","","","","","","","","791","2","","2025-11-14","1","0","1","","","","","","","","","","","","","","","","","","",""
"Traliant","","","","","","","","","792","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"SheerID","","","","","","","","","793","1","","2025-11-15","1","0","0","","","","","","","","","","","","","","","","","","",""
"Linear","","","","","","","","","794","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"MAP Digital","","","","","","","","","795","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Absorb","","","","","","","","","796","1","","","0","0","10","","","","","","","","","","","","","","","","","","",""
"'-","","","","","","","","","797","1","","2025-12-10","11","0","5","","","","","","","","","","","","","","","","","","",""
"Skillcast","","","","","","","","","798","1","","2025-12-08","3","0","5","","","","","","","","","","","","","","","","","","",""
"Amazon","","","","","","","","","800","3","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Audible","","","","","","","","","802","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"DataCash Group","","United Kingdom","datacash.com","https://linkedin.com/company/63821948","","","","","803","1","","2025-12-12","2","0","2","","Kingdom Street  3, W2 6BD, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"1Money","","","","https://linkedin.com/company/101676671","","","","","804","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Rippling","","United States","rippling.com","https://linkedin.com/company/17988315","","","","","805","1","","","0","0","0","","California Street  430;432;444, 94111, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Shuttle","","Egypt","joinshuttle.com","https://linkedin.com/company/72703804","","","","","806","1","","","0","0","0","","6th October Street, 11528, Cairo, Cairo, Egypt","","","","","","","","","","","","","","","","",""
"SVP - Society of St Vincent de Paul Ireland","","Ireland","svp.ie","https://linkedin.com/company/2481474","","","","","807","1","","","0","0","0","","Keeper Road, D12 HA27, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Metis Ireland","","Ireland","metisireland.ie","https://linkedin.com/company/1912648","","","","","808","1","","","0","0","0","","Henry Street, V94 Ykf7, Munster|Limerick, Limerick, Ireland","","","","","","","","","","","","","","","","",""
"Atea Sverige","","Sweden","atea.se","https://linkedin.com/company/3351","","","","","809","1","","","0","0","0","","Kronborgsgränd, 164 21, Stockholm County, Stockholm, Sweden","","","","","","","","","","","","","","","","",""
"Irish Distillers","","Ireland","irishdistillers.ie","https://linkedin.com/company/92101","","","","","810","1","","","0","0","0","","Simmonscourt Road, D04 W9H6, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Connect Credit Union","","Ireland","connectcu.ie","https://linkedin.com/company/69102094","","","","","811","1","","","0","0","0","","5 Main Street, A94 VP03, County Dublin, Leinster, Blackrock, Ireland","","","","","","","","","","","","","","","","",""
"Moneycorp","","United Kingdom","moneycorp.com","https://linkedin.com/company/52449","","","","","812","1","","","0","0","0","","Zig Zag Building, SW1E 6SQ, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Rehab Group","","Ireland","rehab.ie","https://linkedin.com/company/147770","","","","","813","1","","","0","0","0","","Beckett Way, D12 PK44, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"FinComp Academy","","United Arab Emirates","","https://linkedin.com/company/107705369","","","","","814","1","","","0","0","0","","Dubai, United Arab Emirates","","","","","","","","","","","","","","","","",""
"SS&C GlobeOp","","United Kingdom","","https://linkedin.com/company/8960","","","","","815","1","","","0","0","0","","EC1A 4AS, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Rjs","","Ireland","rjs.ie","https://linkedin.com/company/110095840","","","","","816","1","","","0","0","0","","22/23 Merchant's Quay, D08 C6Xp, Leinster|Dublin, Dublin 8, Ireland","","","","","","","","","","","","","","","","",""
"Mackenzie Investments","","Canada","mackenzieinvestments.com","https://linkedin.com/company/9014","","","","","817","1","","","0","0","0","","180 Queen Street West, M5V 3K1, Ontario, Toronto, Canada","","","","","","","","","","","","","","","","",""
"Kraken","","United States","kraken.com","https://linkedin.com/company/3787845","","","","","818","1","","","0","0","0","","SoMa, 94107, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Paysafe","","United Kingdom","paysafe.com","https://linkedin.com/company/132205","","","","","819","1","","","0","0","0","","25 Canada Square 27th Floor, E14 5LQ, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Wisetack","","United States","wisetack.com","https://linkedin.com/company/28438291","","","","","820","1","","","0","0","1","","94107, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Pzena Investment Management","","United States","pzena.com","https://linkedin.com/company/47481","","","","","821","1","","","0","0","0","","Park Avenue  320, 10022, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Elevance Health","","United States","elevancehealth.com","https://linkedin.com/company/81527214","","","","","822","1","","","0","0","0","","Virginia Avenue, 46204, Indiana, Indianapolis, United States","","","","","","","","","","","","","","","","",""
"Safe Cert Group","","Sweden","safecertgroup.com","https://linkedin.com/company/72772547","","","","","823","1","","","0","0","1","","Linnégatan, 114 37, Stockholm County, Stockholm, Sweden","","","","","","","","","","","","","","","","",""
"ICMA - International Capital Market Association","","United Kingdom","icmagroup.org","https://linkedin.com/company/664195","","","","","824","0","","","0","0","0","","Cannon Street  110, EC4N 6EU, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Lloyds Banking Group","","United Kingdom","lloydsbankinggroup.com","https://linkedin.com/company/417361","","","","","825","1","","","0","0","1","","Northwood Road  40, CR7 8HQ, London Borough of Croydon, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Deutsche Bank","","Germany","db.com","https://linkedin.com/company/1262","","","","","826","3","","","0","0","2","","Taunusanlage  12, 60325, Hesse, Frankfurt, Germany","","","","","","","","","","","","","","","","",""
"Jlr","","United Kingdom","jlr.com","https://linkedin.com/company/269818","","","","","827","1","","","0","0","1","","Abbey Road, CV3 4BN, Coventry, England, Coventry, United Kingdom","","","","","","","","","","","","","","","","",""
"Wickersley Partnership Trust","","United Kingdom","wickersleypartnershiptrust.org","https://linkedin.com/company/8402747","","","","","828","1","","","0","0","0","","Cranworth Road, S65 1LL, England, Rawmarsh, United Kingdom","","","","","","","","","","","","","","","","",""
"Afry","","Sweden","afry.com","https://linkedin.com/company/30754506","","","","","829","1","","","0","0","1","","Frösundaleden 2a, 169 70, Stockholm County, Stava, Sweden","","","","","","","","","","","","","","","","",""
"Sap","","Germany","sap.com","https://linkedin.com/company/1115","","","","","830","1","","","0","0","0","","Dietmar-Hopp-Allee 16, 69190, Baden-Wuerttemberg|Karlsruhe|Rhein-Neckar, Walldorf, Germany","","","","","","","","","","","","","","","","",""
"Uncountable","","United States","uncountable.com","https://linkedin.com/company/18351331","","","","","831","1","","","0","0","0","","Kansas Street, 94124, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Deutsche Numis","","United Kingdom","dbnumis.com","https://linkedin.com/company/41144","","","","","832","1","","","0","0","0","","Kingdom Street  3, W2 6BD, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Cimspa","","United Kingdom","cimspa.co.uk","https://linkedin.com/company/6463803","","","","","833","1","","","0","0","1","","Sportpark Loughborough University, 3 Oakwood Drive, LE11 3QF, Leicestershire, Loughborough, United Kingdom","","","","","","","","","","","","","","","","",""
"Aion Bank (UniCredit Group)","","","","","","","","","834","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"NatWest Group","","United Kingdom","natwestgroup.com","https://linkedin.com/company/68360623","","","","","835","1","","","0","0","0","","Glasgow Road, EH12 9BH, City of Edinburgh, Scotland, City of Edinburgh, United Kingdom","","","","","","","","","","","","","","","","",""
"SEED Network","","Denmark","seednetworkdk.wixsite.com","https://linkedin.com/company/34676539","","","","","836","1","","","0","0","0","","1721, Capital Region of Denmark, Copenhagen, Denmark","","","","","","","","","","","","","","","","",""
"Lgt Private Banking","","Liechtenstein","lgt.com","https://linkedin.com/company/3108385","","","","","837","1","","","0","0","0","","Herrengasse  12, 9490, Vaduz, Vaduz, Liechtenstein","","","","","","","","","","","","","","","","",""
"Fsr - danske revisorer","","Denmark","fsr.dk","https://linkedin.com/company/724790","","","","","838","1","","","0","0","0","","Kronprinsessegade 8, 1306, Hovedstaden|Kobenhavn, København K, Denmark","","","","","","","","","","","","","","","","",""
"TMW Resilience","","United Kingdom","","https://linkedin.com/company/106788995","","","","","839","1","","","0","0","0","","CV32 4QR, England, Royal Leamington Spa, United Kingdom","","","","","","","","","","","","","","","","",""
"Asml","","Netherlands","asml.com","https://linkedin.com/company/3894","","","","","840","2","","","0","0","1","","De Run 6501, 5504DR, Noord-Brabant|Veldhoven, Veldhoven, Netherlands","","","","","","","","","","","","","","","","",""
"Bank of America","","United States","bankofamerica.com","https://linkedin.com/company/1123","","","","","841","1","","","0","0","0","","100 North Tryon Street, 28202, North Carolina, Charlotte, United States","","","","","","","","","","","","","","","","",""
"Irish Funds","","Ireland","irishfunds.ie","https://linkedin.com/company/3152260","","","","","842","1","","","0","0","0","","Tara Street, D02 TK71, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"AstraZeneca","","United Kingdom","astrazeneca.com","https://linkedin.com/company/1603","","","","","843","2","","","0","0","0","","Francis Crick Avenue, CB2 0AA, Cambridgeshire, England, Cambridge, United Kingdom","","","","","","","","","","","","","","","","",""
"Arcera","","","arceralifesciences.com","https://linkedin.com/company/102345050","","","","","844","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"First Data Polska","","Poland","polcard.pl","https://linkedin.com/company/1272581","","","","","845","1","","","0","0","0","","Aleje Jerozolimskie  100, 00-807, Plaza 14, Warsaw, Poland","","","","","","","","","","","","","","","","",""
"Rabobank","","Netherlands","rabobank.com","https://linkedin.com/company/1970","","","","","846","1","","","0","0","0","","Croeselaan  18, 3521 CB, Utrecht, Utrecht, Netherlands","","","","","","","","","","","","","","","","",""
"Confidential","","United Kingdom","confidential.com","https://linkedin.com/company/101421716","","","","","847","1","","","0","0","0","","Kingdom Street  3, W2 6BD, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Skyguide","","Switzerland","skyguide.ch","https://linkedin.com/company/15343","","","","","848","1","","","0","0","0","","skyguide, 1215, Geneva, Genève, Switzerland","","","","","","","","","","","","","","","","",""
"European Federation of Pharmaceutical Industry Associations","","Belgium","efpia.eu","https://linkedin.com/company/81363","","","","","849","0","","","0","0","0","","1050 BRUXELLES, 1050, Belgique, RUE DU TRONE 108, Belgium","","","","","","","","","","","","","","","","",""
"GSK","","United Kingdom","gsk.com","https://linkedin.com/company/1399","","","","1399","850","2","","","0","0","0","","79 New Oxford Street, WC1A 1DG, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"EIT Health","","Germany","eithealth.eu","https://linkedin.com/company/10001468","","","","","851","2","","","0","0","0","","Mies-van-der-Rohe-Straße, 80807, Bavaria, Munich, Germany","","","","","","","","","","","","","","","","",""
"EY Law Ireland","","","","","","","","","852","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Zing","","United Kingdom","zing.me","https://linkedin.com/company/100451443","","","","","853","0","","","0","0","0","","Canada Square, E14 5GP, London Borough of Tower Hamlets, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Accenture","","Finland","accenture.com","https://linkedin.com/company/1033","","","","","854","1","","","0","0","1","","Visiokatu  1, 33720, Pirkanmaa, Tampere, Finland","","","","","","","","","","","","","","","","",""
"Manna Air Delivery","","Ireland","manna.aero","https://linkedin.com/company/12642639","","","","","855","1","","","0","0","0","","Slaney Road, D11 XAH1, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Aon Insurance Managers (Dublin)","","","","","","","","","856","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"JPMorgan Partners (JPMP)","","United States","jpmorgan.com","https://linkedin.com/company/109264005","","","","","857","2","","","0","0","0","","Park Avenue  270, 10017, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Wells Fargo","","United States","wellsfargo.com","https://linkedin.com/company/1235","","","","","858","1","","","0","0","0","","464 California St, 94104, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Moneybox","","United Kingdom","moneyboxapp.com","https://linkedin.com/company/digital-moneybox","","","","","859","5","","","0","0","0","","Hatfields, SE1 8DJ, London Borough of Southwark, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Capital on Tap","","United Kingdom","capitalontap.com","https://linkedin.com/company/capital-on-tap","","","","","860","5","","","0","0","0","","Redchurch Street, E2 7DD, London Borough of Hackney, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Snap Finance UK","","United Kingdom","snapfinance.co.uk","https://linkedin.com/company/snap-finance-uk","","","","","861","3","","","0","0","0","","Vincent Avenue, MK8 0AB, City of Milton Keynes, England, Milton Keynes, United Kingdom","","","","","","","","","","","","","","","","",""
"Pockit","","United Kingdom","pockit.com","https://linkedin.com/company/pockit","","","","","862","0","","","0","0","0","","Cavendish Square  18, W1G 0PL, City of Westminster, England, City of Westminster, United Kingdom","","","","","","","","","","","","","","","","",""
"Sidetrade","","France","sidetrade.com","https://linkedin.com/company/sidetrade","","","","","863","1","","","0","0","0","","114, Rue Gallieni, 92100, Ile-de-France, Boulogne-Billancourt, France","","","","","","","","","","","","","","","","",""
"Billie","","Germany","billie.io","https://linkedin.com/company/billie.io","","","","","864","4","","","0","0","0","","Am Postbahnhof 15, 10243, Berlin, Berlin, Germany","","","","","","","","","","","","","","","","",""
"Bancontact Payconiq Company","","Belgium","bancontactpayconiq.com","https://linkedin.com/company/bancontactpayconiqcompany","","","","","865","3","","","0","0","0","","Rue d'Arlon - Aarlenstraat  82, 1040, Brussels-Capital, Brussels, Belgium","","","","","","","","","","","","","","","","",""
"Kantox","","United Kingdom","kantox.com","https://linkedin.com/company/kantox","","","","","866","5","","","0","0","0","","9 Devonshire Square, 3rd Floor, Ec2M 4Yd, England|London Inner|London (EC)|London EC2M, London, United Kingdom","","","","","","","","","","","","","","","","",""
"The Children's Trust","","United Kingdom","thechildrenstrust.org.uk","https://linkedin.com/company/1316968","","","","","867","9","","","0","0","0","","Tadworth Street, KT20 5RU, Surrey, England, Reigate and Banstead, United Kingdom","","","","","","","","","","","","","","","","",""
"North West London Hospitals NHS Trust","","","","https://linkedin.com/company/8077067","","","","","868","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Three Crowns","","United Kingdom","threecrownsllp.com","https://linkedin.com/company/7258422","","","","","869","1","","","0","0","0","","New Fetter Lane  8,9,10, EC4A 1AZ, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Royal College of Pediatrics and Child Health","","United Kingdom","rcpch.ac.uk","https://linkedin.com/company/1291353","","","","","870","3","","","0","0","1","","Theobalds Road, WC1R 5LN, London Borough of Camden, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Al Salama Hospital - مستشفى السلامه","","United Arab Emirates","alsalamahospital.com","https://linkedin.com/company/79111745","","","","","871","1","","","0","0","0","","Hamdan Bin Mohammed Street Hamdan St / Al Ayda St, 46266, Abu Dhabi Emirate, Abu Dhabi, United Arab Emirates","","","","","","","","","","","","","","","","",""
"KPMG Saudi Arabia","","Canada","kpmg.com","https://linkedin.com/company/1080","","","","","872","0","","","0","0","0","","333 Bay St, M5H2S5, Ontario, Toronto, Canada","","","","","","","","","","","","","","","","",""
"Ircad","","France","ircad.fr","https://linkedin.com/company/234815","","","","","873","1","","","0","0","0","","1, place de l'hôpital, 67091, Bas-Rhin, Grand Est, Strasbourg, France","","","","","","","","","","","","","","","","",""
"King Edward VII's Hospital","","United Kingdom","kingedwardvii.co.uk","https://linkedin.com/company/1484430","","","","","874","1","","","0","0","0","","Beaumont Street, W1G 6AA, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Sharpsmart UK","","United Kingdom","sharpsmart.co.uk","https://linkedin.com/company/6633045","","","","","875","1","","","0","0","0","","Unit 44, Enterprise City, DL16 6JF, County Durham, England, Spennymoor, United Kingdom","","","","","","","","","","","","","","","","",""
"The Royal Society of Medicine","","United Kingdom","rsm.ac.uk","https://linkedin.com/company/65316","","","","","876","1","","","0","0","0","","1 Wimpole Street, W1G 0AE, England|London Inner|London (W)|London W1G, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Imperial College Healthcare NHS Trust","","United Kingdom","imperial.nhs.uk","https://linkedin.com/company/227143","","","","","877","1","","","0","0","0","","South Wharf Road  46, W2 1BL, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"St Patrick's Mental Health Services","","Ireland","stpatricks.ie","https://linkedin.com/company/1390969","","","","","878","1","","","0","0","0","","St Patrick's University Hospital,, 8, County Dublin, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Proximie","","United Kingdom","proximie.com","https://linkedin.com/company/10808099","","","","","879","1","","","0","0","0","","Cavendish Square  33, W1G 0PW, City of Westminster, England, City of Westminster, United Kingdom","","","","","","","","","","","","","","","","",""
"BePharma Institute","","","","https://linkedin.com/company/101209038","","","","","880","1","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"Salutem Care and Education","","United Kingdom","salutemcareandeducation.co.uk","https://linkedin.com/company/11451357","","","","","881","1","","","0","0","0","","Victoria Street, SL4 1EW, Royal Borough of Windsor and Maidenhead, England, Windsor, United Kingdom","","","","","","","","","","","","","","","","",""
"Horizon Care","","United Kingdom","horizoncare.co.uk","https://linkedin.com/company/3963875","","","","","882","1","","","0","0","0","","12 Prospect Park, Longford Road, WS110LG, Staffordshire, Cannock, United Kingdom","","","","","","","","","","","","","","","","",""
"Grandir UK","","United Kingdom","grandiruk.com","https://linkedin.com/company/9300322","","","","","883","2","","","0","0","0","","White Hart Lane, RG21 4AF, Hampshire, England, Basingstoke and Deane, United Kingdom","","","","","","","","","","","","","","","","",""
"Keys Childcare","","United Kingdom","","https://linkedin.com/company/18496566","","","","","884","1","","","0","0","0","","B63 4AH , West Midlands, Halesowen, United Kingdom","","","","","","","","","","","","","","","","",""
"Cavalry Healthcare","","United Kingdom","cavalrycare.co.uk","https://linkedin.com/company/18670360","","","","","885","1","","","0","0","0","","Burlington Street, L3 6LG, Liverpool, England, Liverpool, United Kingdom","","","","","","","","","","","","","","","","",""
"St. Christopher’s School","","","","","","","","","886","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"St Christopher’s Hospice","","United Kingdom","stchristophers.org.uk","https://linkedin.com/company/2624015","","","","","887","1","","","0","0","0","","51-59 Lawrie Park Road, SE26 6DZ, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"CCBill","","United States","ccbill.com","https://linkedin.com/company/54244","","","","","888","1","","","0","0","0","","West University Drive  2353, 85281, Arizona, Tempe, United States","","","","","","","","","","","","","","","","",""
"Forge","","United States","forgeglobal.com","https://linkedin.com/company/3598625","","","","","889","1","","","0","0","0","","4 Embarcadero Center, 94111, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Cafico International","","Ireland","caficointernational.com","https://linkedin.com/company/3034933","","","","","890","1","","","0","0","0","","3rd Floor, Waterloo Exchange, Waterloo Road, Ballsbridge, Dublin 4, D04 E5W7, D04 E5W7, Dublin, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Barclaycard Payments","","United Kingdom","barclaycard.co.uk","https://linkedin.com/company/9463827","","","","","891","0","","","0","0","0","","1 Churchill Place, E14 5HP, England|London Inner|London (E)|London E14, Canary Wharf, United Kingdom","","","","","","","","","","","","","","","","",""
"Village Health Clubs & Spas","","United States","villageclubs.com","https://linkedin.com/company/1435346","","","","","892","1","","2026-01-26","1","0","0","","4444 E Camelback Dr, 85018, Arizona, Phoenix, United States","","","","","","","","","","","","","","","","",""
"Acorn Life","","Ireland","acornlife.ie","https://linkedin.com/company/3485754","","","","","893","1","","","0","0","0","","St Augustine Street, H91 PN80, Galway, Galway, Ireland","","","","","","","","","","","","","","","","",""
"ACE Money Transfer","","United Kingdom","acemoneytransfer.com","https://linkedin.com/company/2820669","","","","","894","1","","","0","0","0","","Falconwood Way  49, M11 3LN, Manchester, England, Manchester, United Kingdom","","","","","","","","","","","","","","","","",""
"HANetf","","United Kingdom","hanetf.com","https://linkedin.com/company/11360214","","","","","895","1","","","0","0","0","","Cheapside  107, EC2V 6DN, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Meredov GRC","","Spain","","https://linkedin.com/company/105751968","","","","","896","1","","","0","0","0","","Madrid, Spain","","","","","","","","","","","","","","","","",""
"Department of Rural and Community Development and the Gaeltacht","","Ireland","","https://linkedin.com/company/78328600","","","","","897","1","","","0","0","0","","D02 EF85, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Decathlon Ireland","","Ireland","decathlon.ie","https://linkedin.com/company/11311297","","","","","898","1","","","0","0","0","","Saint Margaret's Road, D11 X2NC, Leinster, Dublin 11, Ireland","","","","","","","","","","","","","","","","",""
"KBI Global Investors","","Ireland","kbiglobalinvestors.com","https://linkedin.com/company/1348483","","","","","899","1","","","0","0","0","","Harbourmaster Place  2, D01 K8F1, County Dublin, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Hurdle","","United Kingdom","hurdle.bio","https://linkedin.com/company/27190433","","","","","900","1","","","0","0","0","","The Bourne  19, N14 6PH, London Borough of Enfield, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Cohen & Steers","","United States","cohenandsteers.com","https://linkedin.com/company/32247","","","","","901","1","","","0","0","0","","Park Avenue  280, 10035, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Ispcc","","Ireland","ispcc.ie","https://linkedin.com/company/256565","","","","","902","1","","","0","0","0","","107 Lower Baggot Street,, D02 WT25, County Dublin, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"MetLife Investment Management Europe","","","","","","","","","903","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Navro","","United Kingdom","navro.com","https://linkedin.com/company/80025515","","","","","904","1","","","0","0","0","","Paul Street, E15 4QD, London Borough of Newham, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Sherry FitzGerald","","Ireland","sherryfitz.ie","https://linkedin.com/company/77678","","","","","905","1","","","0","0","0","","Ballymoss Road, D18 E4CR, Leinster, Sandyford, Ireland","","","","","","","","","","","","","","","","",""
"Pembroke Privacy","","United Kingdom","pembrokeprivacy.com","https://linkedin.com/company/20350529","","","","","906","1","","","0","0","0","","Buckingham Palace Road  123, SW1W 9HA, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Axa","","France","axa.com","https://linkedin.com/company/2221","","","","","907","1","","","0","0","0","","25 avenue Matignon, 75008, Ile-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Lhk Group","","Ireland","lhkgroup.ie","https://linkedin.com/company/10797534","","","","","908","1","","","0","0","0","","Dundrum Road, D14 V3K8, Leinster, Dundrum, Ireland","","","","","","","","","","","","","","","","",""
"Pxp","","United Kingdom","pxp.io","https://linkedin.com/company/18847813","","","","","909","1","","","0","0","0","","1 Roydon Road, SG12 8, Hertfordshire, England, East Hertfordshire, United Kingdom","","","","","","","","","","","","","","","","",""
"JRI America","","Ireland","jri-america.com","https://linkedin.com/company/40800","","","","","910","1","","","0","0","0","","Kerry Technology Park, V92C6DD, County Kerry, Munster, Tralee, Ireland","","","","","","","","","","","","","","","","",""
"Aqmetrics","","Ireland","aqmetrics.com","https://linkedin.com/company/3193100","","","","","911","1","","","0","0","1","","14F Maynooth Business Campus, Co. Kildare, W23 C6D6, Kildare, Maynooth, Ireland","","","","","","","","","","","","","","","","",""
"Octium","","Ireland","octiumgroup.com","https://linkedin.com/company/18789380","","","","","912","1","","","0","0","0","","South Frederick Street, D02 E763, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"NBC Global Finance","","Ireland","nbcgf.ie","https://linkedin.com/company/33185301","","","","","913","1","","","0","0","0","","Herbert Park Lane, 4, County Dublin, Leinster, Dublin 4, Ireland","","","","","","","","","","","","","","","","",""
"Fintua","","Ireland","fintua.com","https://linkedin.com/company/4983590","","","","","914","1","","","0","0","0","","IDA Business and Technology Park, R95 ETN5, County Kilkenny, Leinster, Kilkenny, Ireland","","","","","","","","","","","","","","","","",""
"United Drug","","Ireland","united-drug.com","https://linkedin.com/company/71902","","","","","915","1","","","0","0","0","","Naas Road Citywest, D24 CF1P, County Dublin, Leinster, Saggart, Ireland","","","","","","","","","","","","","","","","",""
"Fairstone Ireland","","Ireland","fairstone.ie","https://linkedin.com/company/100148986","","","","","916","1","","","0","0","0","","Maple House 2nd Lower Kilmacud Rd, Stillorgan, A94 E3F2, County Dublin, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Ig","","United Kingdom","ig.com","https://linkedin.com/company/76496597","","","","","917","1","","","0","0","1","","Dowgate Hill  25, EC4R 2YA, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Paragon Banking Group","","United Kingdom","paragonbankinggroup.co.uk","https://linkedin.com/company/105905","","","","","918","1","","","0","0","0","","Homer Road, B91 3QJ, Metropolitan Borough of Solihull, England, Metropolitan Borough of Solihull, United Kingdom","","","","","","","","","","","","","","","","",""
"_Xtremepush","","Ireland","xtremepush.com","https://linkedin.com/company/3334885","","","","","919","0","","","0","0","0","","Clarendon Street, D02 KX36, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"CFO / COO Advisory Services","","","","","","","","","920","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Berkley Group","","Ireland","berkley-group.com","https://linkedin.com/company/111959","","","","","921","1","","","0","0","1","","3 Watergold, Douglas, T12 VNR3, County Cork, Munster, Cork, Ireland","","","","","","","","","","","","","","","","",""
"Modulr","","United Kingdom","modulrfinance.com","https://linkedin.com/company/modulr-finance","","","","","922","1","","","0","0","1","","Wood Lane, W12 0FD, London Borough of Hammersmith and Fulham, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"li.fi","","Germany","li.fi","https://linkedin.com/company/lifiprotocol","","","","","923","1","","","0","0","1","","Parrisiusstraße  4-14, 12555, Berlin, Berlin, Germany","","","","","","","","","","","","","","","","",""
"Bitcoin Suisse","","Switzerland","bitcoinsuisse.com","https://linkedin.com/company/bitcoin-suisse-ag","","","","","924","1","","","0","0","1","","Grafenauweg  12, 6300, Zug, Zug, Switzerland","","","","","","","","","","","","","","","","",""
"Yokoy","","Switzerland","yokoy.io","https://linkedin.com/company/yokoy","","","","","925","3","","","0","0","3","","Förrlibuckstrasse, 8005, Zurich, Zurich, Switzerland","","","","","","","","","","","","","","","","",""
"Wayflyer","","Ireland","wayflyer.com","https://linkedin.com/company/wayflyer","","","","","926","1","","","0","0","1","","One Park Place Hatch Street Upper, Saint Kevin's Dublin 2 Ireland, 2, Dublin, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Anyfin","","Sweden","anyfin.com","https://linkedin.com/company/anyfin","","","","","927","1","","","0","0","0","","Drottninggatan, 111 36, Stockholm County, Stockholm, Sweden","","","","","","","","","","","","","","","","",""
